ADD_UID,SITE_NAME,LOCALITY,POSTAL_CODE,PROVINCE_CODE,BLDG_UID,ADDRESS_DESCRIPTOR,MAIL_PROVIDER,FULL_ADDRESS,LAT,LONG
VAD10025,Logan Lane (E3),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6276 Logan Lane,-123.246388,49.259047
VAD10026,Logan Lane (A9),Vancouver,V6T 2K8,BC,VBL10226,Residential,CanadaPost,2561 East Mall,-123.245146,49.25873
VAD10028,Logan Lane (E4),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6278 Logan Lane,-123.246518,49.259002
VAD10792,Westchester (C1),Vancouver,V6T 2J9,BC,VBL10220,Residential,CanadaPost,2578 West Mall,-123.249378,49.257294
VAD10793,Westchester (C2),Vancouver,V6T 2J9,BC,VBL10220,Residential,CanadaPost,2576 West Mall,-123.249389,49.257307
VAD10794,Westchester (C3),Vancouver,V6T 2J9,BC,VBL10220,Residential,CanadaPost,2572 West Mall,-123.249445,49.257375
VAD10796,Westchester (D1),Vancouver,V6T 2J9,BC,VBL10220,Residential,CanadaPost,2568 West Mall,-123.249503,49.257446
VAD10797,Westchester (D2),Vancouver,V6T 2J9,BC,VBL10220,Residential,CanadaPost,2566 West Mall,-123.249531,49.25748
VAD10798,Westchester (D3),Vancouver,V6T 2J9,BC,VBL10220,Residential,CanadaPost,2562 West Mall,-123.249587,49.257549
VAD10799,Westchester (D4),Vancouver,V6T 2J9,BC,VBL10220,Residential,CanadaPost,2560 West Mall,-123.249618,49.257586
VAD10742,Spirit Park Apartments - 2,Vancouver,V6T 1X7,BC,VBL10074,Residential,,2715 Osoyoos Crescent,-123.239355,49.261499
VAD10743,Spirit Park Apartments - 3,Vancouver,V6T 1X7,BC,VBL10074,Residential,,2725 Osoyoos Crescent,-123.239276,49.261272
VAD10744,Spirit Park Apartments,Vancouver,V6T 1X7,BC,VBL10074,CampusBuilding,,2705 Osoyoos Crescent,-123.239511,49.261709
VAD10585,West Hampstead,Vancouver,V6T 2G1,BC,VBL10281,NeighbourhoodBldg,CanadaPost,5760 Hampton Place,-123.235269,49.257797
VAD11096,Child Care Services - Kittiwake,Vancouver,V6T 1S1,BC,VBL10273,Occupant,,2815 Revelstoke Court,-123.235229,49.260072
VAD11100,Child Care Services - Sandpiper,Vancouver,V6T 1S1,BC,VBL10276,Occupant,,2805 Revelstoke Court,-123.234866,49.260268
VAD11105,UBC Farm,Vancouver,V6T 1W5,BC,VBL10014,Complex,,3461 Ross Drive,-123.23736,49.25076
VAD10375,Point Grey Apartments,Vancouver,V6T 2G3,BC,VBL10145,CampusBuilding,,2875 Osoyoos Crescent,-123.237929,49.259982
VAD10008,Hawthorn Green (D2),Vancouver,V6T 2J6,BC,VBL10144,Residential,CanadaPost,6328 Hawthorn Lane,-123.248499,49.258272
VAD10030,Logan Lane (B6),Vancouver,V6T 2K8,BC,VBL10226,Residential,CanadaPost,2549 East Mall,-123.245348,49.258976
VAD10003,Hawthorn Green (B1),Vancouver,V6T 2J6,BC,VBL10144,Residential,CanadaPost,6352 Hawthorn Lane,-123.248758,49.258181
VAD11052,War Memorial Gymnasium,Vancouver,V6T 1Z1,BC,VBL10161,CampusBuilding,,6081 University Boulevard,-123.247983,49.266527
VAD11053,Wayne and William White Engineering Design Centre,Vancouver,V6T 1Z4,BC,VBL10064,CampusBuilding,,2345 East Mall,-123.247973,49.262318
VAD10417,Sandringham,Vancouver,V6T 2G5,BC,VBL10106,NeighbourhoodBldg,CanadaPost,5650 Hampton Place,-123.233508,49.258284
VAD10405,Sitka,Vancouver,V6T 0B5,BC,VBL10112,NeighbourhoodBldg,CanadaPost,5868 Agronomy Road,-123.2419,49.263016
VAD10388,Promontory,Vancouver,V6T 2J8,BC,VBL10149,NeighbourhoodBldg,CanadaPost,2688 West Mall,-123.247881,49.255898
VAD10390,Reflections,Vancouver,V6T 2K7,BC,VBL10148,NeighbourhoodBldg,CanadaPost,6279 Eagles Drive,-123.246859,49.258273
VAD10487,Yu,Vancouver,V6S 0C5,BC,VBL10167,NeighbourhoodBldg,CanadaPost,5955 Birney Avenue,-123.235833,49.253505
VAD10485,Wyndham Hall,Vancouver,V6T 2H3,BC,VBL10293,NeighbourhoodBldg,CanadaPost,5683 Hampton Place,-123.233998,49.259364
VAD11054,Wesbrook Building,Vancouver,V6T 1Z3,BC,VBL10266,CampusBuilding,,6174 University Boulevard,-123.249559,49.265372
VAD10473,Westpoint,Vancouver,V6T 0B3,BC,VBL10305,NeighbourhoodBldg,CanadaPost,6005 Walter Gage Road,-123.250607,49.270091
VAD10035,Logan Lane (D6),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6252 Logan Lane,-123.245744,49.258696
VAD10036,Logan Lane (C14),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6226 Logan Lane,-123.246122,49.259137
VAD10037,Logan Lane (A5),Vancouver,V6T 2K8,BC,VBL10226,Residential,CanadaPost,2569 East Mall,-123.245064,49.258631
